,Var(METAL),Var(ENERGY),Var(AGRICULTURAL),"Cov(METAL,ENERGY)","Cov(METAL,AGRICULTURAL)","Cov(ENERGY,AGRICULTURAL)"
1/04/1991,0.000155,0.003342,3.77E-05,0.000536,4.39E-05,6.08E-05
1/07/1991,0.000146,0.003165,3.85E-05,0.000514,4.18E-05,5.63E-05
1/08/1991,0.000161,0.003408,4.07E-05,0.000532,4.40E-05,6.66E-05
1/09/1991,0.000169,0.003154,4.20E-05,0.000512,4.50E-05,6.62E-05
1/10/1991,0.000158,0.002920,4.18E-05,0.000488,4.33E-05,6.46E-05
1/11/1991,0.000149,0.002695,4.36E-05,0.000465,4.21E-05,6.29E-05
1/14/1991,0.000141,0.002501,4.44E-05,0.000442,3.98E-05,6.26E-05
1/15/1991,0.000137,0.002841,4.40E-05,0.000440,3.82E-05,5.97E-05
1/16/1991,0.000134,0.002649,4.37E-05,0.000424,3.65E-05,5.77E-05
1/17/1991,0.000126,0.002569,4.44E-05,0.000406,3.54E-05,6.03E-05
1/18/1991,0.000147,0.008298,5.01E-05,0.000548,2.73E-05,-1.05E-05
1/21/1991,0.000141,0.008072,4.95E-05,0.000536,2.67E-05,-7.62E-06
1/22/1991,0.000133,0.007589,4.90E-05,0.000514,2.57E-05,-9.31E-06
1/23/1991,0.000128,0.007254,4.86E-05,0.000480,2.53E-05,-1.19E-05
1/24/1991,0.000132,0.006970,4.83E-05,0.000480,2.54E-05,-8.00E-06
1/25/1991,0.000165,0.006433,4.77E-05,0.000464,2.52E-05,-7.34E-06
1/28/1991,0.000168,0.005937,4.81E-05,0.000439,2.63E-05,-7.63E-06
1/29/1991,0.000159,0.005486,4.77E-05,0.000420,2.57E-05,-6.60E-06
1/30/1991,0.000150,0.005099,4.73E-05,0.000403,2.46E-05,-7.17E-06
1/31/1991,0.000155,0.004761,4.73E-05,0.000396,2.52E-05,-4.71E-06
2/01/1991,0.000147,0.004408,4.68E-05,0.000379,2.41E-05,-4.81E-06
2/04/1991,0.000140,0.004069,4.63E-05,0.000361,2.35E-05,-4.52E-06
2/05/1991,0.000132,0.003758,5.07E-05,0.000344,2.19E-05,-5.71E-06
2/06/1991,0.000127,0.003473,5.03E-05,0.000330,2.17E-05,-4.83E-06
2/07/1991,0.000121,0.003233,4.97E-05,0.000312,2.09E-05,-3.76E-06
2/08/1991,0.000121,0.002984,5.11E-05,0.000297,1.83E-05,-3.14E-06
